Rank,Company,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters,symbol,price,marketCap,beta,lastDividend,range,change,changePercentage,volume,averageVolume,ceo,state
1,Walmart,Retail,680985,5.1,2100000,"Bentonville, Arkansas",WMT,106.04,845441132977.0,0.671,0.9125,79.81-109.58,-1.1,-1.02669,4278415,16517159.0,C. Douglas McMillon,AR
2,Amazon,Retail and cloud computing,637959,11.0,1556000,"Seattle, Washington",AMZN,220.42,2350759924421.0,1.281,0.0,161.38-242.52,2.47,1.13329,14170486,44254714.0,Andrew R. Jassy,WA
3,UnitedHealth Group,Healthcare,400278,7.7,400000,"Minnetonka, Minnesota",UNH,360.315,326327792192.0,0.478,8.62,234.6-630.73,-1.175,-0.32504,3193817,15174048.0,Stephen J. Hemsley,MN
4,Apple,Electronics industry,391035,2.0,164000,"Cupertino, California",AAPL,260.06,3859391823400.0,1.094,1.02,169.21-265.29,1.61,0.62294,13014414,54967137.0,Timothy D. Cook,CA
5,CVS Health,Healthcare,372809,4.2,259500,"Woonsocket, Rhode Island",CVS,80.94,102658336793.0,0.609,1.995,43.56-83.52,-1.07,-1.30472,2713106,7853815.1,J. David Joyner CEBS,RI
6,Alphabet,Technology and cloud computing,350018,13.9,183323,"Mountain View, California",GOOGL,254.17,3074077407432.0,1.0,0.82,140.53-257.33,2.48,0.98534,9845076,34478379.0,Sundar Pichai,CA
7,Cencora,Pharmacy wholesale,293959,12.1,44000,"Conshohocken, Pennsylvania",COR,330.46,64068884555.0,0.629,2.2,223.92-331.73,-0.34,-0.10278,266034,1409026.0,Robert P. Mauch PharmD,PA
8,JPMorgan Chase,Financial services,278906,16.5,317233,"New York City, New York",JPM,294.904,810912274000.0,1.127,5.55,202.16-318.01,0.794,0.26997,2133204,8150784.0,James Dimon,NY
9,Costco,Retail,254453,5.0,333000,"Issaquah, Washington",COST,937.5032,415484056618.0,0.964,4.92,867.34-1078.23,-7.1768,-0.75971,996357,2326437.0,Ron M. Vachris,WA
10,Cigna,Health insurance,247121,26.6,72398,"Bloomfield, Connecticut",CI,302.01,80614947931.0,0.462,5.93,256.89-350,-5.86,-1.9034,368567,1656876.0,David Michael Cordani,CT
